MSOACD,NaPTANID,Distance
E02003860,9100WLMSL,1766.74596397
E02003861,9100KNUTSFD,912.873756105
E02003868,9100MACLSFD,672.504765254
E02003869,9100MACLSFD,1315.74265813
E02001036,9100CLTN,3427.15522062
E02001037,9100CLTN,3179.99521873
E02001034,9100KEARSLY,3337.86479187
E02001035,9100CLTN,4723.89704974
E02001032,9100KEARSLY,3785.81572136
E02001033,9100KEARSLY,4896.76940314
E02001030,9100FRNW,3489.64828043
E02001031,9100CLTN,5983.24015593
E02001038,9100CLTN,3210.11657708
E02001039,9100CLTN,3720.14645812
E02001347,9100FAZKRLY,688.711903672
E02001344,9100HUNTSX,1328.7214671
E02001345,9100HALW,351.737503787
E02001342,9100HUYTON,462.783822079
E02001343,9100WHISTON,2255.77215934
E02001340,9100BROADGR,1287.92543298
E02001341,9100HUYTON,990.956737813
E02001348,9100AINTREE,786.878797544
E02001349,9100ORELPKH,158.089593902
E02005236,9100HEYMST,1874.39245053
E02005237,9100LANCSTR,624.656393628
E02005234,9100LANCSTR,578.36473792
E02005235,9100LANCSTR,1229.5454632
E02005233,9100LANCSTR,1438.66150165
E02005230,9100MORCAME,1294.89019783
E02005231,9100LANCSTR,1519.02948259
E02005238,9100LANCSTR,2071.39135291
E02005239,9100LANCSTR,5039.00149766
E02001446,9100MAGHULL,1369.19457379
E02001447,9100MAGHULL,414.625566449
E02001444,9100FORMBY,1152.66573138
E02001445,9100MAGHULL,2392.00769987
E02001442,9100FRSHFLD,1032.48254141
E02001443,9100FORMBY,449.003947939
E02001440,9100AINSDAL,518.930888405
E02001441,9100FRSHFLD,329.5110288
E02001448,9100MAGHULL,1152.86617709
E02001449,9100BLNDLAC,2385.44756992
E02001166,9100MNCRVIC,2875.8611089
E02001167,9100SLFDCT,2679.20759826
E02001164,9100CLTN,869.757612083
E02001165,9100MRSD,348.438052923
E02001162,9100SWNT,561.130722998
E02001163,9100WALKDEN,143.346034874
E02001160,9100WALKDEN,2073.22398951
E02001161,9100SWNT,788.145205222
E02001168,9100SWNT,1001.53518604
E02001169,9100WALKDEN,2069.16937721
E02005186,9100HAPTON,1225.28657851
E02005185,9100BURNLYB,860.969394971
E02006916,9100MNCRDGT,751.799289498
